date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:19	9124/9124	---M--	200	added ('OK')	application/javascript	etag:%22622996cf-23a4%22	https://new.axilthemes.com/demo/template/etrade/assets/js/vendor/waypoints.min.js	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/js/vendor/waypoints.min.js	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:13:20	36571/36571	---MCZ	200	added ('OK')	application/javascript	etag:W/%226320855f-8edb%22	https://new.axilthemes.com/demo/template/etrade/assets/js/main.js	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/js/main.js	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:13:21	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-1fa36%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400d41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:22	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-1fa36%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:23	74652/74652	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-1239c%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:24	129284/129284	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-1f904%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:25	87520/87520	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-155e0%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:25	502130/502130	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-7a972%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:26	690994/690994	---M--	200	added ('OK')	image/svg+xml	etag:%2261fd2c82-a8b32%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.svg	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:26	165712/165712	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-28750%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.woff2	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
